From,To,Weight,Impact Factor
SUSTAINABILITY-BASEL,INNOV-MANAG POLICY P,11,0.950
NEW MEDIA SOC,J COMMUN,102,3.914
PLOS ONE,QUAL HEALTH RES,100,2.036
LANG COMMUN,ANNU REV ANTHROPOL,31,2.413
J CHILD FAM STUD,J EARLY ADOLESCENCE,57,1.629
YOUTH SOC,AM SOCIOL REV,26,4.4
CHILD INDIC RES,CHILD YOUTH SERV REV,26,1.226
EUR MANAG J,STRATEGIC MANAGE J,129,4.461
INT J OPER PROD MAN,ACAD MANAGE J,95,7.417
SCHIZOPHR RES,ACTA PSYCHIAT SCAND,231,6.79
J DRUG ISSUES,J SUBST ABUSE TREAT,30,2.868
COGNITION,J COGN PSYCHOL,20,1.503
SOC SCI MED,SOCIOL METHODOL,19,2.667
J STUD INT EDUC,J STUD INT EDUC,84,1.294
P NATL ACAD SCI USA,CURR ANTHROPOL,73,1.925
HEALTH AFFAIR,PSYCHIAT SERV,84,2.888
J ANXIETY DISORD,VERHALTENSTHERAPIE,7,0.878
EDUC RESEARCHER,AM EDUC RES J,37,2.931
ECON MODEL,J ECON,76,1.304
LEARN INDIVID DIFFER,PSYCHOL BULL,215,16.793
J EXP PSYCHOL GEN,PSYCHON B REV,128,2.921
J APPL SPORT PSYCHOL,SPORT PSYCHOL,84,1.222
J FAM PSYCHOL,J CONSULT CLIN PSYCH,81,4.593
INFORM DEV,ONLINE INFORM REV,21,1.534
PLOS ONE,ANNU REV PUBL HEALTH,121,10.228
LEARN INDIVID DIFFER,PERS INDIV DIFFER,193,2.005
CLIN CHILD FAM PSYCH,DEV PSYCHOPATHOL,54,3.244
SOC SCI INFORM,COMPUT HUM BEHAV,9,3.435
BEHAV RES METHODS,PSYCHOL REV,84,7.638
BEHAV ANALYST,J EXP ANAL BEHAV,59,1.634
PERS SOC PSYCHOL B,EUR J SOC PSYCHOL,94,1.973
J BEHAV THER EXP PSY,BEHAV RES THER,445,4.064
INT J TECHNOL MANAGE,STRATEGIC MANAGE J,120,4.461
TRAUMA VIOLENCE ABUS,TRAUMA VIOLENCE ABUS,28,3.542
J EXP EDUC,CONTEMP EDUC PSYCHOL,35,2.877
STRESS HEALTH,PSYCHOL BULL,46,16.793
J ENVIRON MANAGE,ENVIRON RESOUR ECON,56,1.582
PSICOTHEMA,J CONSULT CLIN PSYCH,19,4.593
RENEW SUST ENERG REV,ENERG EFFIC,24,1.186
PLOS ONE,EXP PSYCHOL,36,1.829
PERS INDIV DIFFER,J ADOLESCENCE,73,1.795
PLOS ONE,J AM GERIATR SOC,645,4.388
PSYCHOL AGING,MEM COGNITION,81,2.253
PSYCHON B REV,TRENDS COGN SCI,202,15.402
RAE-REV ADMIN EMPRES,ACAD MANAGE REV,25,9.408
PSYCHOL METHODS,BRIT J MATH STAT PSY,34,3.51
OMEGA-J DEATH DYING,AM J PSYCHIAT,20,14.176
ASIA PAC J MANAG,J MANAGE,85,7.733
EUR J PSYCHOL APPL L,J FAM VIOLENCE,7,0.871
J INT MARKETING,J BUS RES,45,3.354
PERS INDIV DIFFER,J LOSS TRAUMA,11,0.744
BMC PUBLIC HEALTH,SOC PSYCH PSYCH EPID,82,2.922
COMPUT HUM BEHAV,J RETAILING,92,3.772
MULTIVAR BEHAV RES,MULTIVAR BEHAV RES,121,2.593
J HUM RESOUR,J PUBLIC ECON,27,1.538
BMC PUBLIC HEALTH,ALCOHOL ALCOHOLISM,77,2.757
BRIT J MANAGE,ADMIN SCI QUART,99,4.929
CHILD DEV PERSPECT,DEVELOPMENTAL SCI,45,4.604
BIOL PSYCHOL,NEUROIMAGE,335,5.835
HUM RESOUR MANAGE R,J MANAGE,53,7.733
FRONT PSYCHOL,CYBERPSYCH BEH SOC N,53,2.571
BMC HEALTH SERV RES,SOCIOL HEALTH ILL,48,1.89
INT ENTREP MANAG J,STRATEGIC MANAGE J,156,4.461
J ABNORM CHILD PSYCH,J CHILD PSYCHOL PSYC,330,6.226
J ACAD LIBR,MALAYS J LIBR INF SC,5,0.650
J CLIN NURS,RES THEOR NURS PRACT,4,0.432
INTELLIGENCE,LEARN INDIVID DIFFER,47,1.650
J COGN PSYCHOL,PSYCHON B REV,81,2.921
SOC PSYCHOL EDUC,DEV PSYCHOL,34,3.228
INT J PROD RES,INTERFACES,30,0.579
ADDICT BEHAV,EXP CLIN PSYCHOPHARM,70,2.186
INFORM MANAGE-AMSTER,J MARKETING RES,95,3.654
HUM RESOUR MANAGE-US,ACAD MANAGE REV,120,9.408
J LANG SOC PSYCHOL,PERS SOC PSYCHOL B,25,2.504
NURS RES,PEDIATRICS,13,5.705
J EDUC PSYCHOL,J EXP EDUC,13,1.588
J HUMANIST PSYCHOL,J PERS SOC PSYCHOL,11,5.017
APPL GEOGR,LANDSCAPE URBAN PLAN,159,4.563
REV LAT AM PSICOL,REV LAT AM PSICOL,21,0.717
BRIT J MANAGE,STRATEGIC MANAGE J,169,4.461
INT J INFORM MANAGE,COMPUT LAW SECUR REV,6,0.938
J EDUC RES,ELEM SCHOOL J,38,1.151
ARCH CLIN NEUROPSYCH,NEUROPSYCHOLOGIA,56,3.197
SERV BUS,J SERV MARK,54,1.811
TRANSFORM BUS ECON,EXPERT SYST APPL,32,3.928
GOV INFORM Q,GOV INFORM Q,452,4.090
BEHAV INFORM TECHNOL,J PERS SOC PSYCHOL,34,5.017
RES Q EXERCISE SPORT,J SPORT EXERCISE PSY,24,2.451
J ECON BEHAV ORGAN,RATION SOC,9,0.486
CHILD YOUTH SERV REV,J YOUTH ADOLESCENCE,76,3.284
INT J MANPOWER,PUBLIC ADMIN REV,47,3.473
CHILD YOUTH CARE FOR,CHILD YOUTH CARE FOR,38,1.054
PSYCHOL BELG,J EDUC PSYCHOL,39,3.459
DEMOGRAPHY,SOC SCI MED,85,2.797
TRANSPORT RES E-LOG,MANAGE SCI,112,2.822
BEHAV DISORDERS,SCHOOL PSYCHOL QUART,11,3.256
J SCHOOL PSYCHOL,J CONSULT CLIN PSYCH,34,4.593
SOC SCI QUART,AM POLIT RES,30,0.888
ECON INQ,AM ECON REV,232,4.026
J AFFECT DISORDERS,J ABNORM PSYCHOL,311,4.133
INT J OFFENDER THER,J CONTEMP CRIM JUST,23,0.913
INDIANA LAW J,COLUMBIA LAW REV,67,3.775
PLOS ONE,ETHOS,9,0.881
EUR J WORK ORGAN PSY,CAREER DEV INT,17,1.038
FRONT PSYCHOL,J SOC PSYCHOL,67,0.844
PERS INDIV DIFFER,J PSYCHOEDUC ASSESS,14,1.034
VIOLENCE AGAINST WOM,PSYCHOL WOMEN QUART,59,2.432
FRONT PSYCHOL,J EXP PSYCHOL-APPL,55,2.156
TOTAL QUAL MANAG BUS,J OPER MANAG,99,5.207
CRIM JUSTICE BEHAV,INT J OFFENDER THER,48,1.112
ECON LETT,ECON LETT,207,0.558
J CONSUM AFF,J CONSUM AFF,68,1.26
PLOS ONE,AM J SOCIOL,138,3.088
INT J FORECASTING,ECONOMETRICA,85,3.379
AN PSICOL-SPAIN,AN PSICOL-SPAIN,111,0.871
ENVIRON PLANN A,ENVIRON PLANN A,282,1.389
MONOGR SOC RES CHILD,DEVELOPMENTAL SCI,18,4.604
Q J EXP PSYCHOL,DISCOURSE PROCESS,29,2.074
ECON MODEL,REV ECON STUD,132,4.03
J EDUC MEAS,EDUC PSYCHOL MEAS,16,1.548
J EXP PSYCHOL LEARN,COGNITIVE PSYCHOL,136,3.719
PLOS ONE,J SOC ISSUES,68,1.463
INT J COMMUN-US,INT J COMMUN-US,168,1.498
J RATION-EMOT COGN-B,J CONSULT CLIN PSYCH,11,4.593
PERS INDIV DIFFER,JUDGM DECIS MAK,31,1.604
AM J ORTHOPSYCHIAT,J TRAUMA STRESS,43,2.254
SOC BEHAV PERSONAL,SOC BEHAV PERSONAL,57,0.548
J EXP PSYCHOL HUMAN,PSYCHON B REV,245,2.921
ASIAN J SOC PSYCHOL,J CROSS CULT PSYCHOL,24,1.657
J RES PERS,PERS SOC PSYCHOL B,59,2.504
J ACAD LIBR,J ACAD LIBR,205,1.287
INT J NURS STUD,EUR J PSYCHOL APPL L,3,2.286
J ADV NURS,J ADV NURS,654,1.998
CAN J INFORM LIB SCI,IMPLEMENT SCI,6,3.354
APPL LINGUIST,LANG LEARN,44,2.079
FRONT PSYCHOL,CLIN PSYCHOL-UK,7,1.037
MALAYS J LIBR INF SC,SCIENTOMETRICS,45,2.147
SCI ENG ETHICS,J BUS ETHICS,64,2.354
INT J MANAG REV,INT J MANAG REV,65,5.578
J CLIN NURS,J NURS RES,12,0.944
INT J NURS STUD,WESTERN J NURS RES,21,1.313
J SUSTAIN TOUR,ANN TOURISM RES,338,3.194
J ABNORM PSYCHOL,AM J PSYCHIAT,168,14.176
ASIA PAC J TOUR RES,J HOSP TOUR RES,50,2.646
J ABNORM CHILD PSYCH,AGGRESSIVE BEHAV,35,2.747
PERSPECT PSYCHOL SCI,PSYCHOL REV,76,7.638
J MASS COMMUN Q,JOURNALISM STUD,38,1.927
PLOS ONE,MED CARE,396,2.897
PUBLIC OPIN QUART,PUBLIC OPIN QUART,134,1.386
CRIMINOLOGY,J RES CRIME DELINQ,59,2.545
J INTELL DISABIL RES,J CHILD PSYCHOL PSYC,51,6.226
SOC INDIC RES,APPL RES QUAL LIFE,32,1.286
J PSYCHOL COUNS SCH,CHILD DEV,5,4.195
ONCOL NURS FORUM,J CANCER SURVIV,33,3.051
J BUS LOGIST,J OPER MANAG,98,5.207
J CHILD FAM STUD,CHILD YOUTH SERV REV,150,1.226
EUR J DEV RES,AM ECON REV,16,4.026
J EXP EDUC,J PERS SOC PSYCHOL,37,5.017
Z PSYCHOSOM MED PSYC,PSYCHO-ONCOLOGY,11,3.095
GOV INFORM Q,INFORM TECHNOL DEV,6,1.333
CHILD DEV,COGNITIVE DEV,49,1.444
J APPL SOC PSYCHOL,EUR REV SOC PSYCHOL,11,1.389
LIBR INFORM SCI RES,LIBR HI TECH,11,0.759
TEACH TEACH EDUC,J EDUC PSYCHOL,136,3.459
J PERS SOC PSYCHOL,NEBR SYM MOTIV,6,0.6
FRONT PSYCHOL,J RATION-EMOT COGN-B,27,0.696
BMJ OPEN,ANNU REV PUBL HEALTH,50,10.228
TRENDS COGN SCI,SCIENCE,174,37.205
J BUS RES,J CONSUM CULT,21,3.579
AMFITEATRU ECON,RES POLICY,12,4.495
BMJ OPEN,PSYCHOL HEALTH MED,18,1.5
J LEISURE RES,LEISURE STUD,13,1.476
BEHAV RES METHODS,DISCOURSE PROCESS,29,2.074
INT J BILING EDUC BI,LANG LEARN,25,2.079
PSYCHOMETRIKA,J AM STAT ASSOC,37,2.016
INT REV RES OPEN DIS,INTERACT LEARN ENVIR,24,1.674
TELEMAT INFORM,J BROADCAST ELECTRON,39,1.311
REV EDUC RES,REV EDUC RES,101,5.263
HUM ORGAN,ANNU REV ANTHROPOL,13,2.413
EUR J PSYCHIAT,ACTA PSYCHIAT SCAND,19,6.79
INT J COMMUN-US,CHIN J COMMUN,9,0.562
SOC INDIC RES,J POSIT PSYCHOL,22,2.327
J HEALTHC MANAG,J HEALTHC MANAG,13,0.864
GENDER PLACE CULT,GENDER PLACE CULT,329,1.605
J AFFECT DISORDERS,EUR J PSYCHIAT,4,0.426
MANAGE DECIS,J BUS ETHICS,205,2.354
PUBLIC CHOICE,AM J POLIT SCI,57,5.044
GROUP ORGAN MANAGE,J ORGAN BEHAV,71,3.607
SOC INDIC RES,J HAPPINESS STUD,152,2.327
EUR J PSYCHIAT,J AFFECT DISORDERS,39,3.432
J ADDICT NURS,AM J DRUG ALCOHOL AB,13,2.161
PROF PSYCHOL-RES PR,PSYCHOTHERAPY,27,2.573
ORGAN SCI,RES POLICY,134,4.495
AM J MENS HEALTH,AM J MENS HEALTH,45,2.141
J THEOR SOC BEHAV,AM SOCIOL REV,8,4.4
J BUS RES,INFORM MANAGE-AMSTER,62,3.317
SUPPLY CHAIN MANAG,INT J LOGIST MANAG,70,1.610
ANNU REV PSYCHOL,SCIENCE,75,37.205
J CHILD PSYCHOL PSYC,AM J PSYCHIAT,183,14.176
J SOCIOL,AM SOCIOL REV,17,4.4
WORK STRESS,J VOCAT BEHAV,28,2.555
FRONT PSYCHOL,HUM COMMUN RES,40,1.549
J BUS RES,ADMIN SCI QUART,332,4.929
INFORM TECHNOL DEV,TELECOMMUN POLICY,28,1.526
J GENET PSYCHOL,DEV PSYCHOL,36,3.228
PSYCHOL SCI PUBL INT,J PERS SOC PSYCHOL,13,5.017
PROD OPER MANAG,OPER RES,274,1.779
NURS EDUC TODAY,J TRANSCULT NURS,26,1.262
J FAM THER,J AM ACAD CHILD PSY,19,6.442
J SOC PSYCHOL,SOC INFLUENCE,6,1
INT J COMMUN-US,PUBLIC RELAT REV,101,1.311
BRIT J GUID COUNS,J CONSULT CLIN PSYCH,20,4.593
J RISK UNCERTAINTY,J ECON BEHAV ORGAN,19,1.323
COMMUN MONOGR,COMMUN MONOGR,53,1.738
J SOC ISSUES,EUR J SOC PSYCHOL,37,1.973
TELECOMMUN POLICY,J MEDIA ECON,5,0.217
J SUBST ABUSE TREAT,ADDICTION,308,5.789
J BUS VENTURING,STRATEG ENTREP J,26,2.537
PSYCHOTHER PSYCH MED,INT J EAT DISORDER,18,3.567
FRONT PSYCHOL,ANNU REV PSYCHOL,476,19.95
CHIN MANAG STUD,J FINANC ECON,42,4.505
HEALTH EXPECT,PATIENT EDUC COUNS,119,2.429
J BUS ETHICS,MANAGE DECIS,34,1.396
MANAGE ORGAN REV,ASIA PAC BUS REV,8,1
J NEUROSCI PSYCHOL E,J MARKETING RES,9,3.654
MIND CULT ACT,AM J COMMUN PSYCHOL,12,2.108
COMPUT HUM BEHAV,PSYCHOL VIOLENCE,11,2.192
INT J COMP-SUPP COLL,LEARN INSTR,20,3.983
INT J BEHAV MED,J PSYCHOSOM RES,57,2.809
BODY IMAGE,J PERS SOC PSYCHOL,60,5.017
QUAL HEALTH RES,NURS INQ,22,1.143
LEARN MEDIA TECHNOL,J RES SCI TEACH,9,3.179
J CLEAN PROD,J ENVIRON EDUC,19,1.621
DEV REV,COGNITION,42,3.414
BRIT J HEALTH PSYCH,J PERS SOC PSYCHOL,35,5.017
J POP CULT,J POP CULT,27,0.103
HEALTH RISK SOC,HEALTH RISK SOC,177,2.262
J NONVERBAL BEHAV,DEV PSYCHOL,17,3.228
PSYCHIAT PRAX,SOC PSYCH PSYCH EPID,26,2.922
MANAGE COMMUN Q,HUM RELAT,22,2.622
AM J POLIT SCI,SOC SCI QUART,23,0.849
INFORM RES,INFORM PROCESS MANAG,49,2.391
J RES ADOLESCENCE,CHILD DEV,188,4.195
INT J ELECTRON COMM,INT J ELECTRON COMM,170,3.900
STUD SECOND LANG ACQ,LANG LEARN,188,2.079
TRANSPORT J,INT J PHYS DISTR LOG,30,2.577
DEVIANT BEHAV,JUSTICE Q,73,3.072
J PSYCHOSOM RES,PSYCHOL MED,63,5.23
J CLEAN PROD,ENVIRON IMPACT ASSES,139,3.094
J SOC CLIN PSYCHOL,J PERS SOC PSYCHOL,115,5.017
J AUTISM DEV DISORD,AM J OCCUP THER,74,2.053
INT J PROD RES,INT J LOGIST-RES APP,17,1.018
J OCCUP ORGAN PSYCH,PERS PSYCHOL,84,4.362
ACAD-REV LATINOAM AD,RES POLICY,30,4.495
PLOS ONE,J SOC PSYCHOL,37,0.844
BRIT J EDUC TECHNOL,INTERACT LEARN ENVIR,24,1.674
PLOS ONE,RES SOC ADMIN PHARM,21,2.403
PLOS ONE,INT J PSYCHOPHYSIOL,232,2.582
CURR DIR PSYCHOL SCI,PLOS ONE,49,2.806
J PROD INNOVAT MANAG,RES TECHNOL MANAGE,24,2.429
COMPUT EDUC,COMPUT ASSIST LANG L,24,2.121
J PEDIATR NURS,PEDIATRICS,207,5.705
ANNU REV CLIN PSYCHO,AM J PSYCHIAT,75,14.176
J COMMUNITY PSYCHOL,SOC SCI MED,38,2.797
J PRAGMATICS,DISCOURSE CONTEXT ME,4,1.000
J ADVERTISING RES,J MARKETING RES,56,3.654
J HEALTH ECON,J POLIT ECON,60,3.923
LIBR INFORM SCI RES,INFORM PROCESS MANAG,29,2.391
PSYCHOL SPORT EXERC,EUR REV APPL PSYCHOL,5,0.667
J BROADCAST ELECTRON,NEW MEDIA SOC,27,4.180
J VACAT MARK,J VACAT MARK,60,1.148
APPL PSYCH MEAS,APPL MEAS EDUC,13,0.75
J BUS ECON MANAG,STRATEGIC MANAGE J,63,4.461
INT J CONSUM STUD,FOOD QUAL PREFER,55,3.199
IEEE T LEARN TECHNOL,IEEE T EDUC,20,1.727
STUD HIGH EDUC,BRIT EDUC RES J,20,1.214
FRONT PSYCHOL,TOP COGN SCI,104,2
AMFITEATRU ECON,Q J ECON,12,6.662
BROOKINGS PAP ECO AC,BROOKINGS PAP ECO AC,9,1.593
J TEACH EDUC,REV RES EDUC,16,1.727
J POLICY MODEL,J POLICY MODEL,141,0.993
J AM MED INFORM ASSN,HEALTH AFFAIR,104,4.98
LANG EDUC-UK,EDUC RESEARCHER,9,3.827
LANGUAGE,LANGUAGE,94,1.714
J HUM RESOUR,REV ECON STAT,36,2.926
BEHAV INFORM TECHNOL,INT J HUM-COMPUT ST,62,2.863
J ADV NURS,INT J NURS STUD,204,3.755
PLOS ONE,J GENET PSYCHOL,15,0.452
HEALTH PSYCHOL REV,HEALTH PSYCHOL,85,3.458
TECHNOL ANAL STRATEG,TECHNOL FORECAST SOC,83,2.625
ISR J HEALTH POLICY,ISR J HEALTH POLICY,68,1.362
J MED INTERNET RES,J AM MED INFORM ASSN,124,3.698
GAME ECON BEHAV,INT J GAME THEORY,40,0.713
SYNTHESE,COGN SYST RES,9,1.182
RES DEV DISABIL,RES DEV DISABIL,484,1.63
THEOR PRACT,J LIT RES,13,1.107
J ADOLESCENCE,J YOUTH ADOLESCENCE,186,3.284
SCAND J OCCUP THER,DISABIL REHABIL,64,1.804
J MANAGE,ADMIN SCI QUART,250,4.929
ADDICTION,ADDICTION,1040,5.789
PLOS ONE,AM SOCIOL REV,131,4.4
J SCHOOL HEALTH,PEDIATRICS,107,5.705
PSYCHOL BULL,J PERS SOC PSYCHOL,220,5.017
EUR EAT DISORD REV,CLIN PSYCHOL-UK,4,1.037
J LEADERSH ORG STUD,LEADERSHIP QUART,63,3.094
RES POLICY,SCI PUBL POLICY,40,1.538
J FAM PSYCHOL,FAM RELAT,58,1.426
J RES EDUC EFF,J EDUC PSYCHOL,61,3.459
PSYCHIATR REHABIL J,J BEHAV HEALTH SER R,15,2.024
APPL COGNITIVE PSYCH,J EXP PSYCHOL LEARN,92,2.667
J MASS COMMUN Q,COMMUN RES,46,3.021
RES THEOR NURS PRACT,J ADV NURS,18,1.998
COMPUT ASSIST LANG L,LANG LEARN TECHNOL,129,2.293
RES DEV DISABIL,CHILD CARE HLTH DEV,49,1.445
J DRUG ISSUES,SUBST USE MISUSE,25,1.234
PROF PSYCHOL-RES PR,PROF PSYCHOL-RES PR,116,1.209
INT J STRESS MANAGE,J VOCAT BEHAV,32,2.555
HUM COMMUN RES,J PERS SOC PSYCHOL,96,5.017
INTERACT STUD,J PERS SOC PSYCHOL,13,5.017
PSYCHOL MEN MASCULIN,J PERS SOC PSYCHOL,48,5.017
J INT BUS STUD,J INT BUS STUD,733,5.869
LANG EDUC-UK,LANG CULT CURRIC,8,1.385
HEALTH PSYCHOL REV,J PERS SOC PSYCHOL,37,5.017
INT J SELECT ASSESS,J APPL PSYCHOL,182,4.130
J CHILD ADOLES SUBST,PSYCHOL ADDICT BEHAV,63,2.543
VIOLENCE VICTIMS,VIOLENCE AGAINST WOM,86,1.423
HEALTH PSYCHOL,J CONSULT CLIN PSYCH,70,4.593
ADDICT BEHAV,J AM COLL HEALTH,57,1.556
J COMPUT ASSIST LEAR,EDUC PSYCHOL-US,26,6.257
INFORM MANAGE-AMSTER,INFORM SYST RES,244,2.763
STRATEG ENTREP J,STRATEG ENTREP J,71,2.537
EUR J OPER RES,OPER RES,772,1.779
J SEX RES,J PERS SOC PSYCHOL,96,5.017
SOCIOL METHOD RES,SOCIOL METHODOL,16,2.667
PSYCHOL METHODS,PSYCHOMETRIKA,96,2.111
WORK EMPLOY SOC,AM SOCIOL REV,27,4.4
J APPL GERONTOL,AGING MENT HEALTH,27,2.658
INT J MENT HEALTH NU,BRIT J PSYCHIAT,38,6.347
MARIT ECON LOGIST,MARIT POLICY MANAG,58,1.741
J NURS RES,J ADV NURS,42,1.998
EURASIA J MATH SCI T,RES SCI EDUC,51,1.329
J R STAT SOC A STAT,J OFF STAT,20,0.411
ASIA PAC J TOUR RES,J MARKETING RES,81,3.654
COGNITION,MEM COGNITION,161,2.253
SEX RELATSH THER,J SEX MARITAL THER,61,1.935
SURV RES METHODS-GER,PUBLIC OPIN QUART,34,1.386
PSYCHOL RES-PSYCH FO,PSYCHOL RES-PSYCH FO,165,3.119
PSYCHIAT QUART,SCHIZOPHR RES,41,3.986
CHILD HEALTH CARE,J AM ACAD CHILD PSY,19,6.442
J CHOICE MODEL,TRANSPORT RES REC,21,0.592
AUST J MANAGE,AUST J MANAGE,82,1.483
PSYCHOTHER PSYCH MED,AM J PSYCHIAT,21,14.176
J SPORT MANAGE,J ADVERTISING,29,2.896
CHILD YOUTH CARE FOR,DEV PSYCHOL,35,3.228
BRIT J EDUC PSYCHOL,BRIT J EDUC PSYCHOL,67,2.403
INT J BEHAV DEV,J ABNORM CHILD PSYCH,40,3.615
HIGH EDUC,AM SOCIOL REV,30,4.4
TOURISM MANAGE,J TRAVEL TOUR MARK,182,1.453
J BUS ETHICS,BRIT J MANAGE,38,2.982
BIOL PSYCHOL,INT J PSYCHOPHYSIOL,191,2.582
QUAL QUANT,J OFF STAT,14,0.411
J LIT RES,HARVARD EDUC REV,15,2.674
PSYCHOL AGING,J GERONTOL B-PSYCHOL,135,3.064
PLOS ONE,HUM MOVEMENT SCI,140,1.841
OXFORD ECON PAP,J ECONOMETRICS,34,1.633
J CLEAN PROD,INT J OPER PROD MAN,200,3.339
SOC INFLUENCE,ORGAN BEHAV HUM DEC,17,2.454
ANN TOURISM RES,MOBILITIES-UK,14,2.043
AM J COMMUN PSYCHOL,J PRIM PREV,17,1.597
FRONT PSYCHOL,APPL COGNITIVE PSYCH,142,1.633
AM J SOCIOL,AM J SOCIOL,201,3.088
COMPUT MATH ORGAN TH,AM J SOCIOL,15,3.088
PSYCHIAT RES,ISR J PSYCHIATR REL,20,0.62
FRONT PSYCHOL,SEX ROLES,115,1.954
J ECON EDUC,J ECON EDUC,122,0.486
PUBLIC RELAT REV,AM BEHAV SCI,24,1.311
RECALL,LANG LEARN,9,2.079
J FAM PSYCHOL,CHILD DEV,193,4.195
ECON LETT,ECONOMETRICA,222,3.379
LEARN INDIVID DIFFER,THEOR PRACT,19,0.929
J CLEAN PROD,INT J CONSUM STUD,48,1.510
THEOR PSYCHOL,J THEOR SOC BEHAV,10,1.304
J CROSS CULT PSYCHOL,AM PSYCHOL,61,6.681
DEVIANT BEHAV,CRIMINOLOGY,208,5.019
INT ENTREP MANAG J,STRATEG ENTREP J,22,2.537
QUAL HEALTH RES,J ADV NURS,90,1.998
J MORAL EDUC,J PERS SOC PSYCHOL,19,5.017
SOC INDIC RES,J INT DEV,20,0.786
READ WRIT,J LEARN DISABIL-US,54,1.494
PUBLIC OPIN QUART,INT J PUBLIC OPIN R,13,1.254
NEBR SYM MOTIV,SCHIZOPHR RES,93,3.986
J POLIT,AM ECON REV,72,4.026
DISCOURSE CONTEXT ME,DISCOURSE STUD,32,0.833
SCAND J EDUC RES,TEACH TEACH EDUC,24,2.183
MONOGR SOC RES CHILD,PSYCHOL BULL,17,16.793
J PEDIATR NURS,J PEDIATR NURS,183,1.158
J FINANC,J POLIT ECON,141,3.923
BUS HORIZONS,BUS HORIZONS,71,2.157
EUR ECON REV,REV ECON STUD,102,4.03
PSYCHOL RES-PSYCH FO,ACTA PSYCHOL,101,2.031
SCHIZOPHR RES,PSYCHIAT RES,391,2.528
J PERS SOC PSYCHOL,ADV EXP SOC PSYCHOL,62,5.65
FRONT PSYCHOL,QUAL QUANT,20,1.094
J YOUTH ADOLESCENCE,DEV PSYCHOL,328,3.228
REM SPEC EDUC,PERSPECT PSYCHOL SCI,26,7.359
J NURS SCHOLARSHIP,RES NURS HEALTH,22,1.693
ANNU REV ORGAN PSYCH,LEADERSHIP QUART,80,3.094
COLUMBIA LAW REV,INDIANA LAW J,18,1.090
NICOTINE TOB RES,EXP CLIN PSYCHOPHARM,44,2.186
J EDUC PSYCHOL,DEV PSYCHOL,83,3.228
ACTA PSYCHOL,EXP PSYCHOL,27,1.829
PSYCHOL MARKET,J BUS RES,122,3.354
PSYCHIAT RES,GEN HOSP PSYCHIAT,47,2.279
J AFFECT DISORDERS,PSYCHIAT RES,532,2.528
INT J IND ORGAN,REV ECON STUD,41,4.03
MEM COGNITION,PSYCHOL SCI,104,5.667
INT J PROD RES,J BUS LOGIST,63,2.878
BRIT ACCOUNT REV,BRIT ACCOUNT REV,58,2.135
OMEGA-INT J MANAGE S,INT J PROD ECON,83,3.493
J HEALTH ECON,HEALTH AFFAIR,61,4.98
ASLIB J INFORM MANAG,INFORM RES,22,0.574
INTERACT COMPUT,ACM T COMPUT-HUM INT,28,2.227
PERS PSYCHOL,PERS PSYCHOL,130,4.362
EUR J SOC PSYCHOL,PERS SOC PSYCHOL REV,48,9.361
JPN PSYCHOL RES,J APPL PSYCHOL,18,4.130
AM POLIT SCI REV,AM POLIT SCI REV,191,3.316
TELEMAT INFORM,TELEMAT INFORM,122,3.398
PSYCHOTHERAPY,J COUNS PSYCHOL,44,2.516
HEALTH PROMOT INT,SOC SCI MED,65,2.797
J PRAGMATICS,RES LANG SOC INTERAC,140,1.896
PLOS ONE,AIDS CARE,320,1.824
STRATEG ENTREP J,ENTREP THEORY PRACT,84,4.916
J CLEAN PROD,EUR MANAG J,69,2.481
J BUS RES,J BUS ETHICS,266,2.354
IND MARKET MANAG,MANAGE DECIS,32,1.396
COMPUT HUM BEHAV,J GLOB INF TECH MAN,7,1.167
MEM COGNITION,MEMORY,84,2.118
AM J DRUG ALCOHOL AB,AM J DRUG ALCOHOL AB,72,2.161
ANN GEN PSYCHIATR,BRIT J PSYCHIAT,19,6.347
INT J PROD RES,TOTAL QUAL MANAG BUS,45,1.368
CAN J EXP PSYCHOL,PSYCHON B REV,67,2.921
J LIBR INF SCI,LIBR TRENDS,21,0.259
PROF INFORM,COMPUT SECUR,23,2.849
PLOS ONE,CURR DIR PSYCHOL SCI,165,5.255
MULTIVAR BEHAV RES,PSYCHOMETRIKA,146,2.111
GAME ECON BEHAV,AM ECON REV,243,4.026
TELEMAT INFORM,TELECOMMUN POLICY,58,1.526
TOURISM MANAGE,ANN TOURISM RES,900,3.194
COMMUN MONOGR,INT J INTERCULT REL,17,1.183
EDUC TREAT CHILD,J POSIT BEHAV INTERV,23,1.929
SOCIOL QUART,SOCIOL QUART,106,1.237
J FAM THEOR REV,J FAM THEOR REV,56,1.568
J ECON BEHAV ORGAN,RAND J ECON,64,1.465
EARLY CHILD RES Q,J EXP CHILD PSYCHOL,58,2.602
FRONT PSYCHOL,REV PSICOL SOC,8,0.364
J TRAUMA STRESS,BEHAV RES THER,41,4.064
AM J SOCIOL,SOC FORCES,61,2.113
PLOS ONE,JPN PSYCHOL RES,13,0.531
SCHOOL PSYCHOL QUART,J EDUC PSYCHOL,37,3.459
TOURISM MANAGE,J VACAT MARK,83,1.148
HIGH EDUC RES DEV,STUD CONTIN EDUC,10,1
J PUBLIC RELAT RES,J MARKETING,18,5.318
INTERACT LEARN ENVIR,J COMPUT ASSIST LEAR,60,1.253
