"","V1"
"J PEDIATR PSYCHOL",948
"PEDIATRICS",3098
"JUDGM DECIS MAK",307
"REV PSICOL SOC",43
"MANAGE INT REV",624
"INT J FORECASTING",657
"INT J AVIAT PSYCHOL",115
"LEADERSHIP ORG DEV J",170
"LEADERSHIP-LONDON",113
"EUR J PSYCHIAT",35
"CALIF LAW REV",176
"RES Q EXERCISE SPORT",693
"J PHYS ACT HEALTH",666
"EUR PSYCHOL",169
"GENDER WORK ORGAN",303
"INT J BILING EDUC BI",116
"LANG CULT CURRIC",50
"COMMUN ACM",168
"J PERS DISORD",570
"CURR PSYCHOL",117
"PSYCHOL WOMEN QUART",757
"DISASTERS",221
"CURR DIR PSYCHOL SCI",980
"INT J INFORM MANAGE",1144
"LEISURE SCI",345
"PSYCHOL FR",24
"J SPORT EXERCISE PSY",1002
"INT J MARKET RES",142
"J INT MANAG",551
"MASS COMMUN SOC",268
"THINK REASONING",209
"J BEHAV HEALTH SER R",212
"J PRIM PREV",169
"J DESTIN MARK MANAGE",79
"SYST RES BEHAV SCI",237
"CHILD INDIC RES",185
"THEOR CULT SOC",231
"HIGH EDUC",782
"J ECON PSYCHOL",491
"ENVIRON RESOUR ECON",596
"AM J AGR ECON",604
"ENG MANAG J",99
"ASIA PAC BUS REV",85
"BIOSOCIETIES",65
"ASIA-PAC J TEACH EDU",101
"HEALTH PROMOT J AUST",150
"ENVIRON BEHAV",805
"J HOSP TOUR RES",538
"ECON INQ",196
"CHILD PSYCHIAT HUM D",320
"J CONSUM AFF",208
"EUR J SPEC NEEDS EDU",151
"PSYCHOLOGIST",55
"J ENVIRON ECON MANAG",872
"NEUROPSYCHOL REV",206
"J EPIDEMIOL COMMUN H",2075
"MARKETING THEOR",380
"INFORM TECHNOL DEV",220
"GOV INFORM Q",787
"TEACH COLL REC",467
"PROJ MANAG J",512
"LAND USE POLICY",1543
"EDUC PSYCHOL MEAS",719
"ECON IND DEMOCRACY",104
"PSYCHOL SPORT EXERC",855
"PHONETICA",167
"LANG SPEECH",318
"DECIS ANAL",101
"WORK",764
"PSYCHIATRY",240
"BRIT J CLIN PSYCHOL",464
"INNOV-MANAG POLICY P",77
"TECHNOVATION",1069
"PSYCHOL METHODS",1297
"EMOT REV",360
"STUD SECOND LANG ACQ",701
"J LOSS TRAUMA",78
"REV HIGH EDUC",233
"CONSCIOUS COGN",1154
"INT ENTREP MANAG J",189
"NONPROF VOLUNT SEC Q",841
"CHIN MANAG STUD",76
"EDUC RES REV-NETH",153
"ELECTRON MARK",299
"ISSUES MENT HEALTH N",303
"WORLD PSYCHIATRY",492
"ASSESS EVAL HIGH EDU",666
"SYNTHESE",264
"INT J SUST HIGHER ED",421
"COMPUT OPER RES",381
"PSYCHOL REC",362
"ACAD MANAG ANN",400
"AUTISM",1115
"INT J TECHNOL MANAGE",206
"AM REV PUBLIC ADM",242
"INT MARKET REV",515
"PROBL EKOROZW",25
"NATURE",1122
"EDUC PSYCHOL-UK",333
"J DEV BEHAV PEDIATR",455
"J AM ACAD CHILD PSY",4318
"SCHOOL PSYCHOL REV",428
"REV ECON STAT",1003
"EPJ DATA SCI",53
"TURK PSIKIYATR DERG",69
"HUM RESOUR DEV Q",98
"CULT DIVERS ETHN MIN",294
"POLIT RES QUART",250
"PSYCHIATR REHABIL J",253
"REV IND ORGAN",90
"J ECON",203
"IEEE T LEARN TECHNOL",89
"QUAL RES PSYCHOL",253
"ADULT EDUC QUART",85
"IND ORGAN PSYCHOL-US",340
"J SERV MARK",621
"BEHAV COGN PSYCHOTH",234
"AGGRESSIVE BEHAV",553
"J TRAVEL RES",2945
"J VACAT MARK",388
"DEVELOPMENTAL SCI",1846
"COGN SYST RES",56
"BEHAV BRAIN SCI",1093
"SPAT COGN COMPUT",48
"INT J GEOGR INF SCI",577
"PSYCHIAT QUART",131
"J BUS VENTURING",2255
"THEOR PRACT",100
"DISCOURSE STUD",286
"EUR ADDICT RES",184
"J CAREER ASSESSMENT",421
"J MANAGE PSYCHOL",296
"J YOUTH STUD",342
"TER PSICOL",43
"ENVIRON IMPACT ASSES",778
"J RES EDUC EFF",98
"J ADULT DEV",79
"EUR UNION POLIT",156
"ACCOUNT FINANC",191
"INT J PUBLIC HEALTH",379
"PERS PSYCHOL",1748
"JOURNALISM",373
"J POP CULT",38
"CORNELL HOSP Q",441
"INT J COMP SOCIOL",65
"J HUM RESOUR",202
"DISCOURSE SOC",189
"J PUBLIC HEALTH-UK",374
"THINK SKILLS CREAT",216
"LANG TEACH RES",208
"MATH THINK LEARN",109
"PHYS REV E",23
"J RISK RES",267
"MULTIVAR BEHAV RES",738
"UNIVERSAL ACCESS INF",103
"J LABOR ECON",455
"MATERN CHILD HLTH J",635
"PSYCHOPATHOLOGY",295
"ACAD MANAGE PERSPECT",332
"MARIT POLICY MANAG",517
"ASSIST TECHNOL",43
"AMFITEATRU ECON",48
"WRIT COMMUN",103
"HUM FACTOR ERGON MAN",213
"EUR J PUBLIC HEALTH",778
"SOC BEHAV PERSONAL",322
"HUMOR",156
"BRIT J EDUC TECHNOL",859
"REV IBEROAM DIAGN EV",47
"PSICOTHEMA",478
"INT J PRESS/POLIT",154
"SOC NETWORKS",511
"SOCIOL METHODOL",219
"SOC NATUR RESOUR",365
"LIBR HI TECH",199
"INT SMALL BUS J",564
"RES TECHNOL MANAGE",181
"BRIT J GUID COUNS",138
"COUNS PSYCHOL",375
"PERSPECT PSYCHIATR C",86
"GIFTED CHILD QUART",235
"J CREATIVE BEHAV",388
"AM J FAM THER",55
"INFORM SYST J",439
"MONOGR SOC RES CHILD",388
"CIN-COMPUT INFORM NU",187
"LEGAL CRIMINOL PSYCH",168
"INFORM TECHNOL LIBR",87
"POLIT BEHAV",387
"INT J COMP-SUPP COLL",245
"INNOV EDUC TEACH INT",180
"APPL PSYCHOPHYS BIOF",165
"PSYCHOL SCHOOLS",449
"EDUC PSYCHOL-US",1123
"MEAS EVAL COUNS DEV",117
"NEW DIR CHILD ADOLES",169
"VERHALTENSTHERAPIE",67
"Z PSYCHOL",129
"AIDS BEHAV",2464
"SOC STUD SCI",456
"AUTISM RES",456
"ADV EXP SOC PSYCHOL",472
"DISABIL HEALTH J",142
"SURV METHODOL",112
"SCAND J EDUC RES",116
"PSYCHOL INQ",446
"PORTAL-LIBR ACAD",184
"J BALT SCI EDUC",74
"J ECON DYN CONTROL",463
"SCI STUD READ",612
"SPRINGERPLUS",0
"CROAT J EDUC",23
"J HOSP LEIS SPORT TO",67
"MANAGE COMMUN Q",221
"COMMUN THEOR",424
"PUBLIC HEALTH",573
"Z KL PSYCH PSYCHOTH",66
"TRAMES-J HUMANIT SOC",14
"ONLINE INFORM REV",396
"COMMUN CRIT-CULT STU",58
"Q J SPEECH",128
"LIBRI",72
"J PHONETICS",697
"ASIA PAC J MANAG",562
"J EXP ANAL BEHAV",1280
"IEEE T PROF COMMUN",185
"APPL ECON LETT",139
"AUST NZ J PUBL HEAL",438
"TECH COMMUN-STC",216
"J ORGAN END USER COM",223
"EUR J CRIM POLICY RE",58
"AUST J MANAGE",136
"ELT J",126
"OXFORD ECON PAP",136
"NONPROFIT MANAG LEAD",368
"VOLUNTAS",361
"J SERV THEOR PRACT",71
"J RISK UNCERTAINTY",258
"J POSIT BEHAV INTERV",229
"HUM DEV",120
"EDUC REV",40
"J APPL BEHAV ANAL",1261
"J CONTIN EDUC NURS",266
"ACTA PSYCHOL",1175
"J CANCER SURVIV",402
"ONCOL NURS FORUM",395
"CULT HEALTH SEX",586
"LANG COMMUN",124
"J APPL SPORT PSYCHOL",343
"SPORT PSYCHOL",390
"TRAUMA VIOLENCE ABUS",307
"J ENVIRON MANAGE",363
"RENEW SUST ENERG REV",1247
"BRIT J MATH STAT PSY",315
"APPL GEOGR",726
"COMPUT LAW SECUR REV",118
"SERV BUS",202
"INT J MANPOWER",132
"AM POLIT RES",162
"INDIANA LAW J",42
"CAREER DEV INT",222
"J SOC PSYCHOL",264
"ENVIRON PLANN A",607
"AM J ORTHOPSYCHIAT",351
"JOURNALISM STUD",409
"EUR J DEV RES",36
"PSYCHOL HEALTH MED",217
"J BROADCAST ELECTRON",547
"J POSIT PSYCHOL",399
"GENDER PLACE CULT",331
"J THEOR SOC BEHAV",94
"TELECOMMUN POLICY",539
"J FAM THER",67
"STRATEG ENTREP J",291
"HEALTH EXPECT",405
"LEARN MEDIA TECHNOL",158
"J ENVIRON EDUC",169
"AM J OCCUP THER",468
"INT J LOGIST-RES APP",205
"RES SOC ADMIN PHARM",284
"COMPUT ASSIST LANG L",439
"APPL MEAS EDUC",123
"INT J CONSUM STUD",418
"FOOD QUAL PREFER",55
"IEEE T EDUC",20
"J POLICY MODEL",326
"LANG EDUC-UK",101
"LANGUAGE",414
"TECHNOL FORECAST SOC",1968
"ISR J HEALTH POLICY",84
"INT J GAME THEORY",180
"J LIT RES",96
"SCAND J OCCUP THER",191
"EUR EAT DISORD REV",499
"J SEX MARITAL THER",394
"J SPORT MANAGE",400
"HUM MOVEMENT SCI",631
"MOBILITIES-UK",252
"RECALL",247
"J MORAL EDUC",107
"J INT DEV",116
"BUS HORIZONS",341
"ACM T COMPUT-HUM INT",28
"LIBR TRENDS",185
"COMPUT SECUR",27
"J FAM THEOR REV",109
"STUD CONTIN EDUC",59
"SPAN J FINANC ACCOUN",40
"J ACCOUNT RES",701
"EUR SOCIOL REV",394
"J ECON LIT",453
"MEDIA CULT SOC",392
"RES HIGH EDUC",557
"J HUM EVOL",1838
"PUBLIC HEALTH REP",433
"PERCEPT MOTOR SKILL",431
"BRAIN INJURY",1175
"EUR J PSYCHOL ASSESS",268
"J BEHAV MED",409
"LANG SPEECH HEAR SER",129
"J PERS PSYCHOL",65
"J HEAD TRAUMA REHAB",811
"BEHAV PROCESS",704
"PUBLIC MANAG REV",318
"J KOREAN ACAD NURS",137
"INT J MED INFORM",161
"J AGR ENVIRON ETHIC",170
"MIL PSYCHOL",128
"COMPUT IND ENG",0
"BMC GERIATR",365
"TEACH PSYCHOL",300
"AM J NURS",119
"J SCI EDUC TECHNOL",462
"FAM COMMUNITY HEALTH",65
"PERS RELATIONSHIP",435
"EDUC XX1",17
"CURR OPIN PSYCHIATR",302
"HEALTH COMMUN",659
"APPL SOFT COMPUT",31
"BRIT J SOCIOL",181
"J CLIN PSYCHOL",922
"EVOL HUM BEHAV",726
"ANN CLIN PSYCHIATRY",93
"IND MANAGE DATA SYST",5
"DATA BASE ADV INF SY",236
"NEW TECH WORK EMPLOY",149
"GERIATR NURS",74
"INT J GERIATR PSYCH",1211
"CONTINUUM-J MEDIA CU",66
"LINGUIST EDUC",56
"J PSYCHIATR RES",1313
"J EMPLOYMENT COUNS",62
"EDUC STUD MATH",514
"SOTSIOL ISSLED+",176
"EUR J CRIMINOL",167
"J ECON MANAGE STRAT",206
"J OCCUP HEALTH PSYCH",532
"BUS SOC",491
"J KOREA TRADE",40
"COGNITION EMOTION",1355
"ENERGY",931
"COGN LINGUIST",110
"EUR J INFORM SYST",927
"HEALTH EDUC BEHAV",473
"PHYSIOL BEHAV",1607
"INTEGR PSYCHOL BEHAV",106
"J PUBLIC POLICY MARK",287
"J LEARN SCI",509
"INT J PROJ MANAG",2247
"BIOMETRIKA",61
"HEALTH INF MANAG J",53
"ACT LEARN HIGH EDUC",83
"KYBERNETES",0
"PROD PLAN CONTROL",0
"J PURCH SUPPLY MANAG",495
"Z PADAGOG PSYCHOL",102
"INT J RES MARK",632
"INT J CONFL VIOLENCE",25
"INSTR SCI",257
"SOCIOL THEOR",87
"OCEAN COAST MANAGE",0
"J INTELL FUZZY SYST",0
"J BUS TECH COMMUN",74
"INT GAMBL STUD",307
"INFORM SCIENCES",123
"DIAGNOSTICA",122
"SPORT MANAG REV",319
"EUR SPORT MANAG Q",178
"J CIV ENG MANAG",0
"INT STAT REV",19
"J INTERACT MARK",379
"REV CERCET INTERV SO",13
"HUM STUD",65
"NEUROPSYCHOLOGY",780
"PSIKHOL ZH",41
"IRAN J PUBLIC HEALTH",91
"APPL ENERG",421
"CITIES",571
"CULT PSYCHOL",117
"NURS EDUC",311
"NORD STUD ALCOHOL DR",62
"BILIG",12
"J HIGH EDUC",396
"J FLUENCY DISORD",280
"COGN TECHNOL WORK",147
"INT J INTELL SYST",30
"ENG STUD",23
"EVAL PROGRAM PLANN",207
"RURAL REMOTE HEALTH",157
"J EXP CRIMINOL",93
"J MED SYST",0
"HEALTH POLICY TECHN",67
"SCH MENT HEALTH",91
"ASIAN PAC MIGR J",39
"GAMES HEALTH J",213
"INT J QUAL HEALTH C",649
"CAN PSYCHOL",197
"INT J EDUC RES",221
"SOCIOL PERSPECT",60
"EDUC LEADERSHIP",107
"POLIT STUD-LONDON",61
"FOREST POLICY ECON",0
"J GLOB INF MANAG",178
"DEATH STUD",351
"APPL ERGON",1553
"CAN J SOCIOL",35
"SCAND J PUBLIC HEALT",530
"J CURRICULUM STUD",161
"INDIAN J PSYCHIAT",269
"SPAN J PSYCHOL",126
"AUGMENT ALTERN COMM",222
"EDUC ASSESS EVAL ACC",48
"J ACCOUNT PUBLIC POL",132
"FEM THEOR",23
"CONVERGENCE-US",112
"J REGUL ECON",127
"LEARN MOTIV",150
"PSYCHOSOMATICS",312
"CROSS CULT MANAG",34
"ANN INTERN MED",279
"AM J HEALTH PROMOT",277
"ENVIRON EARTH SCI",0
"PERCEPTION",1056
"J BIOMED INFORM",25
"INFORM SOC",171
"IEEE T SYST MAN CY-S",5
"REPROD HEALTH MATTER",132
"DAEDALUS-US",29
"REF USER SERV Q",79
"REV EDUC",77
"TRANSL BEHAV MED",126
"J INT PHON ASSOC",88
"BIOMETRICS",5
"M&SOM-MANUF SERV OP",780
"ENVIRON MODELL SOFTW",17
"VOCAT LEARN",39
"J CONSTR ENG M",191
"ACTA SOCIOL",69
"J COUNS DEV",189
"SOC COGN AFFECT NEUR",1075
"PSYCHOL PUBLIC POL L",184
"J ENG EDUC",509
"INT J LAW CRIME JUST",15
"ADV HEALTH SCI EDUC",243
"WASH LAW REV",17
"EDUC ADMIN QUART",253
"TRANSINFORMACAO",15
"PRAGUE ECON PAP",23
"J MANAGE ENG",114
"MANAG SERV QUAL",263
"JMIR MHEALTH UHEALTH",0
"CLUSTER COMPUT",0
"PSYCHOLOGIA",36
"LINGUISTICS",69
"INT J URBAN REGIONAL",366
"INT J DES",29
"EUR REV",29
"FOREIGN POL ANAL-US",38
"INFORM SYST FRONT",19
"ENERGIES",0
"BMC FAM PRACT",0
"STUD CONFL TERROR",84
"HUM BRAIN MAPP",0
"NAT NEUROSCI",136
"INT J SOC ROBOT",11
"MATH PROBL ENG",0
"FORBES",61
"FRONT BEHAV NEUROSCI",0
"TEH VJESN",0
"ENTERP INF SYST-UK",3
"DESIGN STUD",11
"APPL CLIN INFORM",0
"J ORG COMP ELECT COM",4
"MATH OPER RES",119
"J MACH LEARN RES",14
"PATIENT PREFER ADHER",0
"HEALTH INFORM J",0
"J ENG DESIGN",38
"INFORM MANAGE-AMS",2129
"ACM T DATABASE SYST",0
"ACM T INFORM SYST",0
"ACM T INTEL SYST TEC",0
"AI MAG",0
"ANN EMERG MED",0
"ANN NY ACAD SCI",0
"BIOSCIENCE",0
"BUS INFORM SYST ENG+",14
"COMPUT IND",4
"COMPUTATION STAT",0
"COMPUTER",0
"COMPUTING",0
"DATA KNOWL ENG",2
"ELECTR POW SYST RES",0
"IEEE COMPUT INTELL M",0
"IEEE INTELL SYST",0
"IEEE INTERNET COMPUT",0
"IEEE PERVAS COMPUT",0
"IEEE SECUR PRIV",0
"IEEE SOFTWARE",0
"IEEE T KNOWL DATA EN",0
"IEEE T SOFTWARE ENG",0
"INFORM SOFTWARE TECH",5
"INFORM SYST",0
"INFORM SYST MANAGE",9
"INT J COMPUT VISION",0
"IT PROF",2
"FUTURE GENER COMP SY",2
"INT J GEN SYST",2
"J COMPUT INFORM SYST",7
"J INTELL MANUF",2
"J SYST SOFTWARE",3
"J UNIVERS COMPUT SCI",2
"NEW REV HYPERMEDIA M",3
"REQUIR ENG",3
"J COMPUT SCI-NETH",0
"J DATABASE MANAGE",0
"J STAT SOFTW",0
"J TELEMED TELECARE",0
"KNOWL INF SYST",0
"MACH LEARN",0
"NEURAL NETWORKS",0
"PATTERN RECOGN LETT",0
"SCI AM",0
